Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
E06000007,,Warrington UA,,10.02,17.455,39.2675,33.254999999999995,7.3625,12.43,7.5775,12.4625,9.107499999999998,14.32,20.5875,5.1075,35.34,43.2,6.0425,29.32,37.19,1.2375,7.1825,7.54,771.0
E06000008,,Blackburn with Darwen UA,,12.177499999999998,18.354999999999997,37.3175,32.145,7.202500000000001,10.9075,9.5825,14.777500000000002,8.5825,15.264999999999999,21.447499999999998,5.085,33.6025,41.0325,6.19,28.2375,36.055,1.3975,7.0024999999999995,7.4,856.0
E06000009,,Blackpool UA,,13.2875,18.205000000000002,36.732499999999995,31.7725,7.16,10.0975,10.715,15.8625,7.9025,15.39,21.0225,5.1850000000000005,32.9825,40.485,5.944999999999999,28.0625,35.485,1.3025,6.9775,7.345,911.25
E06000010,,"Kingston upon Hull, City of UA",,12.98,18.185000000000002,36.4075,32.43,7.19,11.257499999999999,10.11,15.842500000000001,8.344999999999999,15.214999999999998,21.1575,5.4375,32.527499999999996,40.2875,5.95,28.64,36.22,1.4725,6.98,7.397500000000001,926.25
E06000011,,East Riding of Yorkshire UA,,10.28,17.395,39.239999999999995,33.0875,7.3675,11.587500000000002,7.9375,12.6225,8.63,14.4475,20.34,4.6725,35.63,42.8425,5.51,29.515,36.6575,1.1675,7.195,7.5375,798.25
E06000012,,North East Lincolnshire UA,,13.059999999999999,17.01,37.17,32.76,7.209999999999999,10.3175,10.435,15.69,8.11,14.309999999999999,19.715,4.92,33.582499999999996,40.755,5.437499999999999,29.2625,36.25749999999999,1.2925,7.0275,7.389999999999999,940.0
E06000013,,North Lincolnshire UA,,9.2575,15.5825,39.06,36.1025,7.52,12.02,7.08,11.4325,8.985,12.8275,18.34,4.8025,35.370000000000005,42.7425,5.3525,32.305,39.902499999999996,1.1099999999999999,7.355,7.685,871.25
E06000014,,York UA,,9.87,17.8175,42.19,30.119999999999997,7.324999999999999,11.65,7.615,12.122499999999999,8.125,14.99,20.65,4.4375,38.512499999999996,45.8725,5.91,26.6275,33.6125,1.0550000000000002,7.1725,7.48,955.75
E06000015,,Derby UA ,,11.39,17.575,39.09,31.9425,7.2875000000000005,11.417499999999999,8.8725,13.91,8.4475,14.667499999999999,20.49,4.772500000000001,35.425,42.7525,5.765000000000001,28.33,35.55500000000001,1.27,7.1075,7.4675,889.25
E06000016,,Leicester UA,,11.200000000000001,20.2475,35.3675,33.1875,7.2775,12.370000000000001,8.477500000000001,13.9225,8.1725,17.0225,23.475,5.7875,31.34,39.394999999999996,6.367500000000001,29.072499999999998,37.3,1.375,7.0825,7.4775,877.25
E06000017,,Rutland UA ,,,,,,7.665,29.543333333333333,2.8200000000000003,10.34,16.046666666666667,10.555,19.36,7.830000000000001,38.485,52.055,11.226666666666667,26.485,39.9,1.915,7.375,7.9575,256.75
E06000018,,Nottingham UA,,10.905000000000001,19.747500000000002,38.24249999999999,31.105,7.227500000000001,10.585,8.64,13.17,7.380000000000001,16.8825,22.61,4.79,34.6575,41.832499999999996,5.857500000000001,27.525000000000002,34.685,1.1400000000000001,7.065,7.3925,1041.0
E06000019,,"Herefordshire, County of UA",,9.0625,16.1175,39.78,35.04,7.48,11.8,6.9725,11.149999999999999,9.0125,13.255,18.982499999999998,4.6025,36.182500000000005,43.3775,5.295,31.410000000000004,38.6725,1.075,7.322500000000001,7.64,991.25
E06000020,,Telford and Wrekin UA,,11.094999999999999,18.08,36.6125,34.215,7.335000000000001,11.3025,8.637500000000001,13.547500000000001,8.19,15.17,20.987500000000004,5.1425,32.91,40.315,5.575,30.4625,37.97,1.2374999999999998,7.1575,7.515000000000001,889.5
E06000021,,Stoke-on-Trent UA,,12.889999999999999,18.595,37.31,31.205,7.1675,11.545,9.9825,15.7975,9.4225,15.14,22.045,5.83,33.03,41.5925,6.797499999999999,27.057499999999997,35.3575,1.4600000000000002,6.959999999999999,7.375,725.25
E06000022,,Bath and North East Somerset UA,,7.675000000000001,16.5925,43.975,31.752499999999998,7.470000000000001,13.81,5.5975,9.7575,9.1625,13.620000000000001,19.567500000000003,4.875,39.7775,48.1675,6.055000000000001,27.9725,35.54,1.0725000000000002,7.312499999999999,7.625,939.5
E06000023,,"Bristol, City of UA",,11.3325,19.240000000000002,40.370000000000005,29.06,7.165000000000001,11.947500000000002,8.6575,14.007499999999999,9.1075,15.7975,22.682499999999997,5.494999999999999,36.0125,44.7275,7.0,25.059999999999995,33.06,1.3475,6.9750000000000005,7.3549999999999995,735.25
E06000024,,North Somerset UA,,9.51,18.49,39.5175,32.485,7.365,12.852500000000001,7.095000000000001,11.920000000000002,8.715,15.329999999999998,21.65,5.137499999999999,35.5275,43.505,6.029999999999999,28.634999999999998,36.335,1.2225000000000001,7.187499999999999,7.5424999999999995,786.25
E06000025,,South Gloucestershire UA,,9.095,16.6175,42.7175,31.57,7.405,13.64,6.675,11.52,9.7275,13.4725,19.765,5.3575,38.2275,47.207499999999996,6.665,27.450000000000003,35.685,1.2049999999999998,7.225,7.5775,749.5
E06000026,,Plymouth UA,,11.487499999999999,16.3625,38.665,33.485,7.3275,11.7425,8.8475,14.1325,8.7425,13.545,19.174999999999997,4.9325,34.915,42.4125,5.945,29.575,37.394999999999996,1.285,7.1425,7.515,981.75
