Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,Total Standard deviation,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
E06000017,,Rutland UA ,,x,x,x,x,7.82,1.87,30.55,2.35,9.58,15.64,9.14,17.34,7.53,38.04,51.39,8.6,29.93,42.23,1.88,7.53,8.11,275
E10000007,,Derbyshire,,10.02,16.84,38.71,34.43,7.42,2.21,10.73,7.91,12.13,7.4,14.39,19.29,4.43,35.34,42.07,5.04,31.02,37.84,1.08,7.26,7.57,1041
E07000032,,,Amber Valley,x,x,x,x,7.51,2.07,27.68,4.99,17.45,21.33,8.76,21.85,10.44,31.61,48.34,12.09,25.38,41.62,2.47,7.14,7.89,154
E07000033,,,Bolsover,x,x,x,x,7.06,2.55,26.95,7.48,25.46,24.59,7.09,21.15,13.78,25.58,45.4,15.12,23.53,44.31,4.15,6.47,7.66,97
E07000034,,,Chesterfield,x,x,x,x,7.43,2.08,31.12,3.83,16.6,20.6,10.56,25.46,13.19,27.31,46.98,13.73,25.08,44.17,2.71,7.02,7.83,138
E07000035,,,Derbyshire Dales,x,x,x,x,7.46,2.33,48.61,0.13,15.35,31.77,4.53,20.8,13.3,34,59.02,17.14,21.62,44.56,4.68,6.75,8.16,92
E07000036,,,Erewash,x,x,x,x,7.59,2.14,28.89,3.52,13.21,23.89,7.97,22.64,13.27,29.31,50.55,15.76,24.9,47.91,3.03,7.13,8.05,149
E07000037,,,High Peak,x,x,x,x,7.28,2.44,25.7,5.28,16.51,16.34,10.45,20.63,11.83,29.6,48,12.6,25.99,43.54,2.95,6.85,7.71,147
E07000038,,,North East Derbyshire,x,x,x,x,7.42,2.25,25.48,4.88,15.06,18.97,12.47,27.77,12.96,25.46,43.33,13.63,25.82,45.21,3.03,6.96,7.87,128
E07000039,,,South Derbyshire,x,x,x,x,7.46,1.9,40.13,1.16,10.85,15.67,14.92,28.64,11.19,30.29,47.86,13.65,24.05,42.23,2.44,7.1,7.83,136
E10000018,,Leicestershire,,8.34,20.95,39.08,31.63,7.34,2.09,11.84,6.4,10.29,6.85,18.12,23.77,4.29,35.78,42.38,5.33,28.32,34.94,1.51,7.19,7.49,1004
E07000129,,,Blaby,x,x,x,x,7.13,1.91,26.58,3.93,13.03,14.1,20.91,37.53,11.56,29.74,47.81,16.82,15.55,31.51,2.37,6.79,7.47,163
E07000130,,,Charnwood,x,x,x,x,7.5,2.24,25.2,4.53,13.62,18.26,9.37,20.03,9.27,31.26,45.37,8.87,31.22,44.58,2.36,7.14,7.85,241
E07000131,,,Harborough,x,x,x,x,7.26,1.97,34.89,1.93,11.16,17.99,16.03,34.34,11.87,28.8,46.98,13.75,21.94,38.82,2.6,6.87,7.64,140
E07000132,,,Hinckley and Bosworth,x,x,x,x,7.43,2.26,27.68,4.39,15.26,19.44,10.38,23.58,11.66,29.4,47.27,15.26,24.23,45.5,2.97,6.99,7.87,124
E07000133,,,Melton,x,x,x,x,7.33,1.75,34.77,1.67,10.01,18.61,13.17,29.48,12.95,32.68,56.39,19.64,16.88,39.73,2.51,6.95,7.71,101
E07000134,,,North West Leicestershire,x,x,x,x,7.56,1.95,31.73,2.83,12.68,19.16,10.64,23.9,9.59,32.75,48.32,13.02,25.46,43.42,2.49,7.18,7.94,146
E07000135,,,Oadby and Wigston,x,x,x,x,6.87,2.04,38.37,1.83,15.53,18.48,20.22,44.99,16.01,25.46,50.43,23.29,10.83,30.71,3.79,6.34,7.41,89
E10000019,,Lincolnshire ,,11.32,16.04,38.5,34.14,7.34,2.29,10.05,9.09,13.56,8.04,13.5,18.57,4.62,35,41.99,4.85,30.89,37.4,1.14,7.18,7.51,1021
E07000136,,,Boston,x,x,x,x,7.13,2.53,32.92,5.28,26.31,28.99,5.23,20.05,14.5,26.9,49.23,16.45,22.36,44.64,5.09,6.4,7.86,102
E07000137,,,East Lindsey,x,x,x,x,7.49,2.34,25.44,5.96,18.21,24.94,5.72,17.01,12.19,30.16,49.52,11.48,28.31,45.12,2.86,7.07,7.92,168
E07000138,,,Lincoln,x,x,x,x,7.21,2.29,20.92,7.56,18.45,20.74,9.41,22.75,13.27,28.48,49.07,12.99,23.79,40.5,2.47,6.86,7.57,147
E07000139,,,North Kesteven,x,x,x,x,7.53,1.97,29.14,2.98,11.27,20.44,9.58,22.79,11.18,30.74,48.43,12.52,27.83,46.39,2.3,7.18,7.88,161
E07000140,,,South Holland,x,x,x,x,7.22,2.22,32.08,3.62,16.7,20.84,12.68,30.93,12.72,28.6,48.21,16.51,19.8,39.45,3.42,6.73,7.72,118
E07000141,,,South Kesteven,x,x,x,x,7.21,2.46,20.22,7.32,17.18,17.26,10.68,21.83,8.84,33.34,47.58,9.93,24.9,37.16,2.71,6.82,7.6,202
E07000142,,,West Lindsey,x,x,x,x,7.5,2.15,30.39,3.85,15.96,19.85,11.72,27.29,13.97,23.27,41.44,12.75,28.43,48.04,3.11,7.03,7.97,123
E10000021,,Northamptonshire ,,9.18,15.55,39.96,35.31,7.5,2.18,11.15,7.17,11.19,8.64,12.91,18.19,4.63,36.33,43.6,4.91,31.9,38.72,1.04,7.34,7.65,916
E07000150,,,Corby,x,x,x,x,6.97,2.26,33.34,4.62,24.45,22.77,8.95,24.57,13.25,34.03,59.34,24.61,10.93,33.1,4.38,6.35,7.59,81
E07000151,,,Daventry,x,x,x,x,7.93,1.75,50.7,-0.1,7.25,24.72,9.09,27.33,15.66,23.51,45.35,13.73,31.61,55.98,2.36,7.55,8.31,99
E07000152,,,East Northamptonshire,x,x,x,x,7.23,2.23,24.68,6.21,18.78,23.2,8.41,23.48,12.46,31.02,52.14,15.37,20.59,39.36,3.16,6.76,7.69,117
E07000153,,,Kettering,x,x,x,x,7.34,2.42,25.96,6.06,19.28,20.9,10.1,24.73,13.3,22.76,39.35,11.92,29.55,48.17,3.04,6.89,7.79,121
E07000154,,,Northampton,x,x,x,x,7.43,2.32,20.12,5.95,13.85,16.6,10.74,21.28,9.49,29.79,43.6,8.54,31.07,43.73,2.09,7.12,7.74,256
E07000155,,,South Northamptonshire,x,x,x,x,7.93,1.67,50.94,-0.09,6.53,26.18,5.07,16.41,10.94,38.77,60.71,12.55,27.11,45.49,1.92,7.62,8.24,140
E07000156,,,Wellingborough,x,x,x,x,7.65,2.05,33.89,2.33,12.39,26.73,6.3,21.03,11.57,36.5,58.72,16.8,20.74,41.99,2.7,7.23,8.06,102
E10000024,,Nottinghamshire,,13.54,18.29,36.52,31.65,7.16,2.36,9.31,11.06,16.02,7.59,15.56,21.01,4.41,33.36,39.69,5.14,28.45,34.85,1.2,6.99,7.33,1067
E07000170,,,Ashfield,x,x,x,x,7.11,2.6,21.02,9.03,22.14,23.26,8.56,23.47,11.07,27.47,43.09,11.94,25.21,41.04,3.47,6.62,7.6,151
E07000171,,,Bassetlaw,x,x,x,x,7.33,2.2,25.96,5.86,18.54,19.82,9.87,22.83,10.5,31.93,48.91,12.4,23.34,38.72,2.57,6.95,7.7,158
E07000172,,,Broxtowe,x,x,x,x,7.54,2.03,35.7,1.88,11.36,19.78,10.8,24.99,11.27,31.42,49.77,12.29,26.29,43.49,2.54,7.15,7.92,146
E07000173,,,Gedling,x,x,x,x,7,2.36,22.56,8.75,23.17,19.29,13.08,29.57,12.23,25.35,41.8,17.01,19.21,39.07,3.63,6.49,7.51,145
E07000174,,,Mansfield,x,x,x,x,6.75,2.46,23.7,10.04,28.22,18.35,13.74,29.71,12.12,26.32,43.21,16.48,16.33,32.43,3.74,6.25,7.26,154
E07000175,,,Newark and Sherwood,x,x,x,x,7.05,2.5,26.76,6.09,20.08,18.78,13.96,30.73,15.07,21.79,40.57,12.94,24.76,42.02,3.45,6.57,7.54,154
E07000176,,,Rushcliffe,x,x,x,x,7.33,2.25,21.5,7.35,18.41,21.5,7.03,17.61,10.31,31.64,48.06,12.65,26.12,43.78,2.72,6.94,7.73,159
E12000005,WEST MIDLANDS,,,11.5,19.69,37.66,31.16,7.2,2.27,3.35,10.74,12.25,2.38,18.77,20.6,1.51,36.55,38.77,1.74,30.09,32.22,0.38,7.15,7.25,12655
E06000019,,"Herefordshire, County of UA",,8.56,18.1,40.39,32.95,7.42,2.09,13.2,6.34,10.78,8.99,14.9,21.31,4.8,36.58,44.2,5.69,29.26,36.64,1.17,7.25,7.6,849
E06000051,,Shropshire UA,,8.87,14.68,40.88,35.56,7.54,2.15,12.47,6.7,11.05,9.36,11.98,17.39,4.48,37.28,44.48,5.1,32,39.13,1.1,7.37,7.7,903
E06000021,,Stoke-on-Trent UA,,13.35,18.04,34.36,34.26,7.21,2.4,9.89,10.75,15.95,9.04,14.83,21.24,5.52,30.63,38.09,5.71,30.41,38.1,1.36,7.02,7.41,844
E06000020,,Telford and Wrekin UA,,11.01,17.95,36.89,34.15,7.36,2.24,11.6,8.5,13.52,7.95,15.14,20.75,4.88,33.35,40.44,5.23,30.64,37.66,1.19,7.19,7.54,926
