Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
E07000041,,,Exeter,x,x,x,x,7.5,39.2,x,x,22.13,x,x,10.26,x,x,16.35,x,x,2.26,7.15,7.84,133
E07000042,,,Mid Devon,x,x,x,x,7.4,34.42,x,x,25.4,x,x,12.74,x,x,13.67,x,x,2.69,7,7.8,106
E07000043,,,North Devon,x,x,x,x,7.42,35.34,x,x,20.71,x,x,11.51,x,x,14.23,x,x,3.11,6.96,7.89,115
E07000044,,,South Hams,x,x,x,x,7.47,35.87,x,x,21.95,x,x,8.43,x,x,14.2,x,x,2.41,7.1,7.83,133
E07000045,,,Teignbridge,x,x,x,x,7.46,30.7,x,x,22.3,x,x,10.01,x,x,11.89,x,x,2.63,7.06,7.85,174
E07000046,,,Torridge,x,x,x,x,6.84,28.87,x,x,25.32,x,x,15.37,x,x,21.02,x,x,4.38,6.23,7.46,73
E07000047,,,West Devon,x,x,x,x,7.53,43.3,x,x,30.36,x,x,16.03,x,x,18.03,x,x,3.11,7.05,8.01,77
E10000009,,Dorset,,9.21,13.68,42.11,35,7.56,12.74,6.9,11.52,8.99,11.26,16.1,4.28,38.57,45.65,5.27,31.37,38.63,1.09,7.4,7.73,965
E07000048,,,Christchurch,x,x,x,x,7.03,23.77,x,x,16.98,x,x,12.46,x,x,16.72,x,x,2.77,6.64,7.42,128
E07000049,,,East Dorset,x,x,x,x,7.6,26.59,x,x,21.04,x,x,9.78,x,x,10.47,x,x,2.28,7.25,7.94,203
E07000050,,,North Dorset,x,x,x,x,8.06,53.07,x,x,29.7,x,x,9.42,x,x,9.82,x,x,2.51,7.65,8.46,158
E07000051,,,Purbeck,x,x,x,x,7.51,33.07,x,x,22.61,x,x,15.62,x,x,14.93,x,x,3.47,6.99,8.04,117
E07000052,,,West Dorset,x,x,x,x,7.51,28.66,x,x,21.71,x,x,8.3,x,x,12.23,x,x,2.52,7.14,7.89,230
